Name,Group,Logo,URL
00s Replay,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62ba60f059624e000781c436/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=affbdbfa-5fa3-48af-8369-57c005daef42&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=35cdcb46-02bc-4d4f-8688-3f8b1560f45d
1-2-3 TV (270p),Shop,https://i.imgur.com/slSUDNX.png,https://123tv-mx1.flex-cdn.net/index.m3u8
1Almere TV (720p),General,https://i.imgur.com/XfkbTrU.png,https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8
1KZN TV (576p),Entertainment;Family;General,https://admango.cdn.mangomolo.com/analytics/uploads/188/6544bebaae.jpg,https://cdn.freevisiontv.co.za/sttv/smil:1kzn.stream.smil/playlist.m3u8
1S News (576p),Undefined,,https://mumt03.tangotv.in/1SNEWS/index.m3u8
1TV (720p),General,https://i.imgur.com/FSkYLPK.png,https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8
1Twente TV (1080p),General,https://i.imgur.com/ftiuNK3.png,https://ms7.mx-cd.net/dtv-11/198-989148/1Twente_TV.smil/chunklist_w954512639_b4292608_slNLD.m3u8
2GB Sydney (1080p),News,https://i.ibb.co/jwM8DFG/2GB-1.png,https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8
2M Monde,General,https://i.imgur.com/MvpntzA.png,https://cdn-globecast.akamaized.net/live/eds/2m_monde/hls_video_ts_tuhawxpiemz257adfc/2m_monde.m3u8
2M Monde +1 (1080p),General,https://i.imgur.com/MvpntzA.png,https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8
2STV,Culture,https://i.imgur.com/WByVBZf.png,http://69.64.57.208/2stv/playlist.m3u8
2TV (720p),General,https://i.imgur.com/FJBL6zI.png,https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8
2х2 [Geo-blocked],Entertainment,https://i.imgur.com/fhQFLEl.png,https://zabava-htlive.cdn.ngenix.net/hls/CH_2X2/variant.m3u8
3ABN Canada,Religious,https://i.imgur.com/U99CsEc.png,https://3abn.bozztv.com/3abncanada/3ABN/master.m3u8
3ABN Dare To Dream Network,Religious,https://i.imgur.com/oNUpXA9.png,https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8
3ABN English,Religious,https://i.imgur.com/bgJQIyW.png,https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8
3ABN French,Religious,https://i.imgur.com/B5gsM7m.png,https://3abn.bozztv.com/3abn2/Fre_live/smil:Fre_live.smil/playlist.m3u8
3ABN International Network,Religious,https://i.imgur.com/IecOZHR.png,https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8
3ABN Kids Network,Animation;Kids;Religious,https://i.imgur.com/z3npqO1.png,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8
3ABN Latino,Religious,https://i.imgur.com/Ugb4AFo.png,https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8
3ABN Praise Him Music Network,Music;Religious,https://i.imgur.com/iBcqT8L.png,https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8
3ABN Proclaim! Network,Religious,https://i.imgur.com/zUMUNhe.png,https://3abn.bozztv.com/3abn2/Pro_live/smil:Pro_live.smil/playlist.m3u8
3ABN TV Uganda (720p) [Not 24/7],Religious,https://i.imgur.com/mml9lI2.png,https://3abn.bozztv.com/3abn/3abn_uganda_live/index.m3u8
3AW Melbourne (1080p),News,https://i.imgur.com/Z4MdB0S.png,https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8
3Cat Càmeres del temps (1080p),Public;Weather,https://i.imgur.com/zXy2kbe.png,https://directes-tv-int.3catdirectes.cat/live-content/beauties-hls/master.m3u8
3Cat El búnquer (1080p),Comedy;Public,https://i.imgur.com/wiqdIjd.png,https://fast-tailor.3catdirectes.cat/v1/channel/bunquer/hls.m3u8
3Cat Exclusiu 1 (1080p) [Geo-blocked],News;Public,https://i.imgur.com/YQvLPT1.png,https://directes-tv-cat.3catdirectes.cat/live-content/oca1-hls/master.m3u8
3Cat Exclusiu 2 (1080p) [Geo-blocked],News;Public,https://i.imgur.com/YQvLPT1.png,https://directes-tv-cat.3catdirectes.cat/live-content/oca2-hls/master.m3u8
3Cat Exclusiu 3 (1080p) [Geo-blocked],News;Public,https://i.imgur.com/YQvLPT1.png,https://directes-tv-cat.3catdirectes.cat/live-content/oca3-hls/master.m3u8
3Cat Plats bruts (1080p),Classic;Comedy;Public;Series,https://i.imgur.com/49ZENis.png,https://fast-tailor.3catdirectes.cat/v1/channel/ccma-channel2/hls.m3u8
3CatInfo (1080p),News;Public,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/3CatInfo_logo.svg/512px-3CatInfo_logo.svg.png,https://directes-tv-int.3catdirectes.cat/live-origin/canal324-hls/master.m3u8
3HD,General,https://i.imgur.com/YRiulCU.png,https://lb1-live-mv.v2h-cdn.com/hls/ffae/muulk/muulk.m3u8
3point.dk,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65b915780cb1a1000889b837/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=78b29450-7022-4485-b983-23f30e23925f&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=e34a7705-e6d1-48c5-ad35-bf9b17f7f799
3sat (720p) [Geo-blocked],General,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/512px-3sat_2019.svg.png,https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8
3sat HD (1080p),General,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/512px-3sat_2019.svg.png,https://viamotionhsi.netplus.ch/live/eds/3sathd/browser-HLS8/3sathd.m3u8
3 Stones TV (240p) [Not 24/7],General,https://i.imgur.com/im3g7T2.png,https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8
4ACETV,Undefined,,"https://d3s7x6kmqcnb6b.cloudfront.net/d/distro001a/CVA0UNL2K6KH61IL162P/hls3/now,-1m/m.m3u8?ads.vf=kOxDBuxba3m"
4ACETV CLASSIC HITS,Undefined,,"https://d3s7x6kmqcnb6b.cloudfront.net/d/distro001a/MH8JAMWTLW2AQV5RA55S/hls3/now,-1m/m.m3u8?ads.vf=ey4PLl3ojgy"
4 Afghanistan,Undefined,,https://4afghls.persiana.live/hls/stream.m3u8
4DmásNoticias TV (1080p) [Not 24/7],News,https://i.ibb.co/1fb5BtN/unnamed.png,https://rds3.desdeparaguay.net/4dmasnoticiastv/4dmasnoticiastv/playlist.m3u8
4E (1080p),Religious,https://i.imgur.com/Na0UCV7.png,http://eu2.tv4e.gr:554/live/smil:myStream.sdp.smil/playlist.m3u8
4 Fun Kids (576i) [[Not 24/7]],Kids,https://i.imgur.com/2JO5Y8c.png,https://stream.4fun.tv:8889/hls/4fk_high/index.m3u8
4 Fun TV (576i) [Not 24/7],Music,https://i.imgur.com/rI1wo2l.png,https://stream.4fun.tv:8888/hls/4f_high/index.m3u8
4K TRAVEL TV,Undefined,,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/4k-travel-tv/manifest.m3u8?ads.vf=-W-Hab4e1BO
4K Travel TV,Undefined,,https://streams2.sofast.tv/sofastplayout/33c31ac4-51fa-46ae-afd0-0d1fe5e60a80_0_HLS/master.m3u8
4 Kurd,Music,https://www.aparatchi.com/images/chanells-logo/4kurd.svg,https://4kuhls.persiana.live/hls/stream.m3u8
4TV News (576p),News,https://jiotvimages.cdn.jio.com/dare_images/images/4_TV.png,https://cdn-4.pishow.tv/live/1007/master.m3u8
4U TV (720p),Entertainment,https://i.imgur.com/PexhKwp.png,https://hls.4utv.live/hls/stream.m3u8
5-Minute Craft (1080p),Undefined,,https://soul-5mincrafteng-rakuten.amagi.tv/playlist.m3u8
5AAB TV (720p) [Not 24/7],Entertainment,https://i.imgur.com/jrGrfof.png,http://158.69.124.9:1935/5aabtv/5aabtv/playlist.m3u8
5 Cops,Series,https://i.imgur.com/QFPRaXK.png,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5d2c571faeb3e2738ae27933/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=07998d5d-dd4a-4bcc-84be-58dcbcec76b7&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=ea6c5c56-ffd8-4c31-ae69-c0a0173ed5e6
5 Emergency Rescue,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/63c1384e829c850007922ca4/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=07998d5d-dd4a-4bcc-84be-58dcbcec76b7&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=22a1478b-fae9-438c-8967-b51676996edd
5 Exploring Britain,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5ddf901280e3550009139c86/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=07998d5d-dd4a-4bcc-84be-58dcbcec76b7&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=0b6df978-f289-4515-a028-312276e027dc
5 on Pluto TV,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/623c492627cb540007ca55c7/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=07998d5d-dd4a-4bcc-84be-58dcbcec76b7&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=1f5b7179-6a0b-4bf2-aa5b-88f8c82eca61
5 Trucking Hell,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/656df2849d5ac400083be647/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=07998d5d-dd4a-4bcc-84be-58dcbcec76b7&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=062df9d1-4d2f-4572-9096-873e52649466
5TV Corrientes (480p) [Not 24/7],General,https://i.imgur.com/mSn7ACs.png,http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8
5 Канал,General,https://i.imgur.com/KPXMa3U.png,https://streaming.televizor-24-tochka.ru/live/8.m3u8
6PR Perth (1080p),News,https://i.imgur.com/Q9iCxg1.png,https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8
6ter (1080p) [Geo-blocked],Entertainment,https://i.imgur.com/2nd5Cox.png,https://viamotionhsi.netplus.ch/live/eds/6ter/browser-HLS8/6ter.m3u8
6 TV Telugu (576p),News,https://i.imgur.com/l3EcRnZ.png,https://cdn-1.pishow.tv/live/232/master.m3u8
6 Wise Tv (720p),Family,https://jrlist70.pages.dev/list/wise.png,https://live.enhdtv.com:8081/8150/index.m3u8
7 RadioVisione (720p),Music,https://radio7note.com/img/favicon/android-icon-192x192.png,https://stream10.xdevel.com/video1s976543-1932/stream/playlist.m3u8
7S Music (576p),Music,https://i.imgur.com/zDiIhdN.png,https://mumt03.tangotv.in/7SMUSIC/index.m3u8
7 TeleValencia (576p),General,https://i.imgur.com/ILfXDRs.png,https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8
7th Heaven,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6728c9c85534bb0008b320a4/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=78b29450-7022-4485-b983-23f30e23925f&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=fe3baade-fa57-4fe5-b10d-fd88ce33d233
7th Heaven,Undefined,,https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6728ca75529ac9000830ab14/master.m3u8?appName=web&appVersion=9.19.0&deviceDNT=0&deviceId=ed502ec4-ffd0-49d1-b7de-1c00fad2906c&deviceMake=firefox&deviceModel=web&deviceType=web&deviceVersion=147.0.0&serverSideAds=false&sid=8e9d6b18-cc5b-4832-9afa-88fa1d0e7c8c
